id,HHID,PN,ssw_1992,ssw_1994,ssw_1996,ssw_1998,ssw_2000,ssw_2002,ssw_2004,ssw_2006,ssw_2008,ssw_2010,ssw_2012,ssw_2014,ssw_2016,ssw_2018,ssw_2020
000001_010,000001,010,20500,23700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
000002_010,000002,010,18400,21100,21600,25000,30700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
000003_010,000003,010,112300,128400,123500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
000003_020,000003,020,36800,46300,48200,55000,69200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010001_010,010001,010,11900,21500,22300,25800,31600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010003_020,010003,020,49900,58000,61200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010003_030,010003,030,48500,30100,30300,34400,41300,51500,59100,68400,76900,86700,97800,111700,132100,148700,NA
010004_010,010004,010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010004_040,010004,040,110900,126400,127600,144900,155400,189100,214400,247600,281100,NA,NA,NA,NA,NA,NA
010004_041,010004,041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010013_010,010013,010,73400,NA,77500,89300,109300,132800,NA,NA,NA,NA,NA,NA,NA,NA,NA
010013_040,010013,040,72400,82200,82700,94000,113800,138900,157400,181900,206100,NA,NA,NA,NA,NA,NA
010038_010,010038,010,107500,124600,130200,151500,187000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010038_040,010038,040,110600,128400,79900,142800,175400,214200,244300,282900,322200,NA,NA,NA,NA,NA,NA
010050_010,010050,010,118900,136700,141500,159600,193000,224600,244800,285200,323300,NA,NA,NA,NA,NA,NA
010059_020,010059,020,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010059_030,010059,030,118900,136700,141500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010063_010,010063,010,5300,6000,17100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010075_020,010075,020,11400,13100,13400,15400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010075_030,010075,030,NA,NA,88200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010083_010,010083,010,NA,NA,NA,93400,116900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010083_020,010083,020,8300,9400,9600,10900,13300,16100,18100,21000,NA,NA,NA,NA,NA,NA,NA
010090_010,010090,010,8000,9200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010094_010,010094,010,58300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010097_010,010097,010,113600,130700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010097_040,010097,040,34300,38900,39600,45800,54300,66700,76200,93100,NA,NA,NA,NA,NA,NA,NA
010099_010,010099,010,92600,106700,110000,127800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010106_010,010106,010,95200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010106_020,010106,020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010109_020,010109,020,118900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010109_030,010109,030,118900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010114_010,010114,010,110300,126200,128700,148000,180800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010124_010,010124,010,17900,20600,NA,24600,30300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010124_011,010124,011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010147_010,010147,010,15400,17700,18200,21200,26200,31500,NA,NA,NA,NA,NA,NA,NA,NA,NA
010155_010,010155,010,88700,101400,103000,118200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010196_010,010196,010,3200,3700,3800,4400,5400,6500,7300,NA,NA,NA,NA,NA,NA,NA,NA
010206_010,010206,010,28300,32400,33100,38100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010210_010,010210,010,53700,22000,55100,60100,72500,74000,83600,96900,NA,NA,NA,NA,NA,NA,NA
010210_020,010210,020,5100,5900,6200,7200,9800,45700,22800,26800,31400,NA,NA,NA,NA,NA,NA
010217_010,010217,010,1700,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010225_010,010225,010,82900,95200,97500,112700,138800,166900,189400,NA,NA,NA,NA,NA,NA,NA,NA
010237_020,010237,020,23200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010237_030,010237,030,33200,37800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010240_010,010240,010,2500,2900,NA,NA,NA,5100,NA,NA,NA,NA,NA,NA,NA,NA,NA
010257_010,010257,010,34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010281_010,010281,010,74800,84000,60700,85800,101300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010281_020,010281,020,34700,40300,42400,49700,61700,75300,87400,NA,NA,NA,NA,NA,NA,NA,NA
010299_010,010299,010,103500,119300,123200,141900,173600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010299_011,010299,011,NA,NA,NA,59700,62000,48200,55200,NA,71500,80800,91500,NA,NA,NA,NA
010299_012,010299,012,NA,NA,NA,NA,NA,NA,NA,1000,1100,1300,1400,NA,NA,NA,NA
010325_010,010325,010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010325_020,010325,020,98700,115400,119100,136500,165000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010346_010,010346,010,64100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010372_010,010372,010,71700,80900,81700,91700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010378_010,010378,010,118900,135600,138300,158400,192200,224600,244800,NA,NA,NA,NA,NA,NA,NA,NA
010378_011,010378,011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010394_010,010394,010,103200,119000,122600,141200,173000,211300,242700,285100,NA,NA,NA,NA,NA,NA,NA
010394_040,010394,040,55900,76400,81200,93400,97300,122300,138100,159600,181400,206800,236500,NA,NA,NA,NA
010395_010,010395,010,114100,132000,123900,144000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010395_020,010395,020,110900,126000,90600,104000,126600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010397_010,010397,010,109000,125300,129900,149300,181900,222000,244800,282400,NA,NA,NA,NA,NA,NA,NA
010397_040,010397,040,59600,67100,78700,92500,111500,132200,147400,170500,194500,222600,255800,NA,NA,NA,NA
010404_010,010404,010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010405_010,010405,010,22100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010405_040,010405,040,8700,NA,NA,NA,13900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010410_010,010410,010,39300,45000,46000,52900,64900,78000,88300,NA,NA,NA,NA,NA,NA,NA,NA
010414_020,010414,020,30000,34500,35600,41300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010414_030,010414,030,85900,101100,108200,129200,163300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010433_010,010433,010,59600,68500,70600,81600,100100,120300,136700,NA,NA,NA,NA,NA,NA,NA,NA
010433_040,010433,040,118900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010451_010,010451,010,118900,136700,141500,159600,193000,224600,NA,NA,NA,NA,NA,NA,NA,NA,NA
010451_020,010451,020,97100,110400,114400,131600,160100,193400,NA,NA,NA,NA,NA,NA,NA,NA,NA
010453_010,010453,010,91900,105500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010453_020,010453,020,113700,132000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010458_020,010458,020,95000,109200,109400,126600,154700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010458_030,010458,030,91100,106600,109200,125400,149700,188600,219400,255300,NA,NA,NA,NA,NA,NA,NA
010460_010,010460,010,60800,69700,71000,81800,100200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010465_010,010465,010,45300,42400,48900,58500,72600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010465_020,010465,020,83900,97200,101700,118900,147300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010468_010,010468,010,39700,NA,46200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010468_020,010468,020,NA,NA,21000,NA,30200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010475_010,010475,010,68200,78800,81500,94900,117600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010475_011,010475,011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010477_010,010477,010,68000,78500,81800,NA,116900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010477_020,010477,020,600,700,700,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010481_010,010481,010,104100,119900,123700,142500,174400,213100,NA,NA,NA,NA,NA,NA,NA,NA,NA
010481_020,010481,020,58200,95500,87100,80200,94000,115400,NA,NA,NA,NA,NA,NA,NA,NA,NA
010482_010,010482,010,59800,47900,61100,58200,80900,113700,129500,150100,172000,197700,NA,NA,NA,NA,NA
010533_010,010533,010,72800,83000,84100,96300,117300,141500,159900,185600,213200,NA,NA,NA,NA,NA,NA
010533_011,010533,011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010533_020,010533,020,42900,49600,52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010537_010,010537,010,48400,55400,56700,65100,79200,NA,NA,125400,NA,NA,NA,NA,NA,NA,NA
010537_011,010537,011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010546_010,010546,010,1200,1400,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA
010556_010,010556,010,8700,9900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010565_020,010565,020,40300,47100,49800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010565_030,010565,030,29000,33000,33300,38000,46000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010567_010,010567,010,20800,23900,24500,28400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010568_010,010568,010,88800,102500,106000,123500,153000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
010571_010,010571,010,66300,76800,76800,88600,92900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
